PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
1,4,9,225000,8,6,8,1,2,2,2,1,2,5,4,1987,  ,2, ,1,2,1, ,12,2,2,1,1,60,4,1300,10,1,2,1,1,2,2,2,100, ,100,100,88.72,2,16
2,2,3,425000,8,7,7,1,1,1,2,2,1,2,5,1993,  ,1,3,1,2,1, ,12,1,1, , ,168,7,400,8,1,1,1,1,1,2,1,100, ,100,100,14.49,1,41
3,2,4,60000,6,6,2,1,1,1,2,2,2,2,2,1986,  ,2, ,1,2,1, ,12,2,1, , ,168,7,850,9,1,1,1,1,2,2,1,100, ,100,100,628.33,2,36
4,2,3,2750,2,6,2,1,1,2,2,2,2,2,1,1986,  ,2, ,2,3,2,1,12,2,2,1,2,45,3,10,4,1,2,1,2,2,2,2,100, ,100,95,464.75,1,7
5,2,3,30000,5,4,12,1,1,2,2,2,2,2,1,1963,  ,2, ,1,2,1, ,12,2,2,1,1,70,5,6,3,1,1,1,1,1,2,2,100, ,100,33,558.67,1,7
6,3,5,180000,7,6,2,1,2,2,2,2,2,3,991,1988,  ,2, ,4,3,1, ,12,2,1, , ,168,7,700,9,1,2,1,1,1,2,2,75, ,75,100,36.68,2,8
7,3,6,50001,6,6,2,1,1,2,2,2,2,4,6,1985,  ,2, ,19,5,2,1,12,2,2,1,2,55,4,300,8,1,1,1,1,2,2,2,100, ,100,100,264.22,1,39
8,2,3,10001,4,4,26,1,1,2,2,2,2,2,1,1968,  ,2, ,1,2,1, ,12,2,2,1,1,68,5,31,5,1,1,1,1,2,2,2,100, ,100,90,173.89,2,26
9,3,5,60000,6,6,17,1,1,1,2,2,2,5,1,1987,  ,2, ,1,2,2,1,12,2,1, , ,168,7,45,5,1,2,1,1,1,2,1,100, ,100,100,192.41,1,38
10,3,7,100001,7,4,14,1,2,2,2,1,2,5,3,1964,  ,2, ,1,2,1, ,12,2,2,1,1,84,5,68,6,1,2,1,1,2,2,2,100, ,100,100,27.84,2,42
11,4,9,40000,5,5,2,1,1,2,2,2,2,4,3,1971,  ,2, ,3,3,2,2,12,2,2,1,2,70,5,200,7,1,2,1,1,2,2,2,100, ,100,100,152.37,1,17
