PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,FKTYPFO7 ,FKTYPDS7 ,FKTYPKR7 ,ABLEGEN7 ,ELHT17   ,NGHT17   ,FKHT17   ,PRHT17   ,STHT17   ,HWHT17   ,ELHT27   ,NGHT27   ,FKHT27   ,PRHT27   ,STHT27   ,HWHT27   ,ELCOOL7  ,NGCOOL7  ,FKCOOL7  ,PRCOOL7  ,STCOOL7  ,HWCOOL7  ,ELWATR7  ,NGWATR7  ,FKWATR7  ,PRWATR7  ,STWATR7  ,HWWATR7  ,ELCOOK7  ,NGCOOK7  ,FKCOOK7  ,PRCOOK7  ,STCOOK7  ,HWCOOK7  ,ELMANU7  ,NGMANU7  ,FKMANU7  ,PRMANU7  ,STMANU7  ,HWMANU7  ,NGGENR7  ,FKGENR7  ,PRGENR7  ,GENUSE7  ,NGOTH7   ,FKOTH7   ,PROTH7   ,STOTH7   ,HWOTH7   ,ELLOCUT7 ,ELNONLU7 ,ELOTSRC7 ,ELLUPCT7 ,NGLOCUT7 ,NGOTSRC7 ,ADJWT7   ,PAIR7    ,STRATUM7
00001,4,9, 225000.00,08,06,08,1,2,2,2,1,2, , , ,1,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, , , , , , , , , , ,1,2,2,   , , ,   88.72,2,16
00002,2,3, 425000.00,08,07,07,1,1,1,2,2,1,1,2,2,1,2,2,2, , ,1,1,2,2, , ,2,2,2,2, , ,2,2,2,2, , ,1,1,1,2, , ,2,2,2,2, , ,2,2,1, ,2, , , , , ,2,1,2,   ,2,1,   14.49,1,41
00003,2,4,  60000.00,06,06,02,1,1,1,2,2,2,1,2,2,1,2,1,2, , , ,1,2,2, , , ,1,2,2, , , ,1,2,2, , , ,2,2,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,  628.33,2,36
00004,2,3,   2750.00,02,06,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  464.75,1,07
00005,2,3,  30000.00,05,04,12,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  558.67,1,07
00006,3,5, 180000.00,07,06,02,1,2,2,2,2,2, , , ,1,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,1, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,   36.68,2,08
00007,3,6,  50001.00,06,06,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  264.22,1,39
00008,2,3,  10001.00,04,04,26,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,9,9,  173.89,2,26
00009,3,5,  60000.00,06,06,17,1,1,1,2,2,2,2,1,2,1,1,2,2, , , ,2,2,2, , , ,1,2,2, , , ,2,1,2, , , ,2,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,  192.41,1,38
00010,3,7, 100001.00,07,04,14,1,2,2,2,1,2, , , ,2,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, , , , , , , , , , ,1,2,2,   , , ,   27.84,2,42
