PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,ADJWT7   ,PAIR7    ,STRATUM7 ,HDD657   ,CDD657   ,MFUSED7  ,MFBTU7   ,MFEXP7   ,ELCNS7   ,ELBTU7   ,ELEXP7   ,zelcns7  ,zelexp7
00001,4,9, 225000.00,08,06,08,1,2,2,2,1,2,   88.72,2,16,  1914,   751,1,          18102189,    329544,        3787570,          12923189,    304943,0,0
00002,2,3, 425000.00,08,07,07,1,1,1,2,2,1,   14.49,1,41,  5961,   889,1,         140265002,   1030508,        7454641,          25435235,    440019,0,0
00003,2,4,  60000.00,06,06,02,1,1,1,2,2,2,  628.33,2,36,  5546,   944,1,           9888362,    161756,        2608409,           8899892,    157584,0,0
00004,2,3,   2750.00,02,06,02,1,1,2,2,2,2,  464.75,1,07,  5284,  1023,1,            190632,      3201,          33192,            113251,      2667,0,0
00005,2,3,  30000.00,05,04,12,1,1,2,2,2,2,  558.67,1,07,  5284,  1023,1,           1913573,     27257,         311759,           1063722,     22532,3,0
00006,3,5, 180000.00,07,06,02,1,2,2,2,2,2,   36.68,2,08,  4682,   988,1,          29797893,    417944,        8733263,          29797893,    417944,0,0
00007,3,6,  50001.00,06,06,02,1,1,2,2,2,2,  264.22,1,39,  3700,  1122,1,           2118194,     37125,         508136,           1733760,     34063,3,0
00008,2,3,  10001.00,04,04,26,1,1,2,2,2,2,  173.89,2,26,  5771,   889,1,            812724,     12380,         153662,            524295,     10625,0,0
00009,3,5,  60000.00,06,06,17,1,1,1,2,2,2,  192.41,1,38,  1074,  2702,1,           4905939,     85430,        1045475,           3567161,     75911,0,0
00010,3,7, 100001.00,07,04,14,1,2,2,2,1,2,   27.84,2,42,  1818,  2596,1,          27126513,    127724,        1540889,           5257513,     62768,0,0
00011,4,9,  40000.00,05,05,02,1,1,2,2,2,2,  152.37,1,17,  2906,   190,1,           4199389,     96837,         956300,           3262896,     90909,0,0
00012,4,8,   5500.00,03,04,15,1,1,2,2,2,2, 3494.37,2,42,  2097,  1918,1,            849221,     21058,         160559,            547827,     18049,3,0
00013,2,3,  95000.00,06,05,23,1,1,2,2,2,2,  156.97,2,34,  7065,   623,1,           8861240,    120808,        1353324,           4617541,    100133,3,0
00014,4,9,  10000.00,03,06,05,2,2,2,2,2,2,  493.51,2,35,  3900,   178,2,                  ,          ,               ,                  ,          ,9,9
00015,3,6,  13750.00,04,06,05,1,1,2,1,2,2,  493.51,2,39,  2706,  1895,1,           1097845,     17953,         281559,            960679,     16950,3,3
00016,3,5,  50001.00,06,02,14,1,1,2,2,2,2,  118.21,2,40,    97,  4143,1,           3134195,     63510,         847497,           2891660,     61952,0,0
