PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1,3,5,14000,4,8,5,1,1,2,2,2,2,734.43,23,2,2965,1367,1,453183,6839,59061,201516,4449,0,0
3,3,5,190000,7,4,2,1,2,1,2,2,2,80.65,23,1,4722,1294,1,19056316,347174,5564763,18986971,346483,1,1
5,4,9,25000,4,5,12,1,1,2,2,2,2,950.84,62,2,1111,682,1,135020,4381,23829,81305,3764,0,0
6,3,6,55000,6,4,2,1,2,2,2,1,2,274.46,29,2,3881,1213,1,4775316,69920,825122,2815316,46868,0,0
8,1,2,19000,4,4,14,1,2,1,2,2,2,446.21,7,1,6582,575,1,1689116,20054,130157,444096,12881,0,0
9,4,8,110000,7,5,14,1,2,2,2,1,2,22.68,107,2,851,3537,1,14185022,222639,2682011,9151022,163433,1,1
10,3,5,600000,9,1,16,1,1,1,2,1,2,18.98,25,2,2970,1505,1,87980982,966975,11313962,38603238,612666,1,1
11,2,3,6300,3,4,18,1,1,2,2,2,2,352.05,13,1,6470,715,1,576754,8009,61616,210234,4634,1,1
12,3,5,18000,4,6,2,1,2,2,2,2,2,808.04,21,2,4351,1293,1,1137315,21676,333328,1137315,21676,1,1
13,2,4,4800,2,5,15,1,1,2,2,2,2,1528.98,17,1,7780,667,1,1426937,18846,206965,706165,13360,0,0
14,1,2,65000,6,5,2,1,1,2,2,2,2,221.72,8,1,5372,825,1,3052212,55851,731381,2495472,52627,0,0
15,4,8,14250,4,4,18,1,1,2,2,2,2,446.21,39,1,4719,764,1,1306232,11494,37335,127387,3539,0,1
16,2,3,20000,4,5,23,1,1,2, ,2,2,864.37,12,1,5741,854,1,3457597,45789,395791,1350439,30553,0,0
17,1,1,164000,7,5,14,1,2,1,1,2,2,137.78,3,1,6224,613,1,14394536,223689,1430364,4880402,150672,0,0
18,4,8,2050,2,2,23,1,1,2, ,2,2,742.06,37,2,6453,381,1,301840,5008,43139,147190,3667,0,0
19,2,3,106000,7,7,5,1,1,2,2,2,2,38.21,12,1,8083,673,1,8364917,125603,1606330,5480798,107684,0,0
20,1,2,148000,7,3,14,1,1,2,2,2,2,137.73,7,1,6764,599,1,16365276,100970,1042998,3558709,82178,1,1
21,2,3,12500,4,6,12,1,2,2,2,2,2,2724.37,13,2,6261,592,1,152892,4058,44810,152892,4058,1,1
