PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,MFHTBTU8 ,MFCLBTU8 ,MFVNBTU8 ,MFWTBTU8 ,MFLTBTU8 ,MFCKBTU8 ,MFRFBTU8 ,MFOFBTU8 ,MFPCBTU8 ,MFMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1,3,5,14000,4,8,5,1,1,2,2,2,2,734.43,23,2,251667,15549,8458,6724,133747,0,12634,7914,3266,13223
3,3,5,190000,7,4,2,1,2,1,2,2,2,80.65,23,1,2241929,2332453,1077319,354974,7092965,0,301380,669302,3099250,1886745
5,4,9,25000,4,5,12,1,1,2,2,2,2,950.84,62,2,54041,6443,11670,0,14199,0,0,0,0,48666
6,3,6,55000,6,4,2,1,2,2,2,1,2,274.46,29,2,1921342,333340,386764,56689,935010,0,133579,463295,125277,420019
8,1,2,19000,4,4,14,1,2,1,2,2,2,446.21,7,1,1184955,42863,116447,60065,173002,9685,23984,2696,46900,28517
9,4,8,110000,7,5,14,1,2,2,2,1,2,22.68,107,2,2748092,0,4641961,2285908,2609946,0,330402,21415,674165,873133
10,3,5,600000,9,1,16,1,1,1,2,1,2,18.98,25,2,28941727,7075144,9243281,414000,17432232,1775091,241523,31210,225041,22601735
11,2,3,6300,3,4,18,1,1,2,2,2,2,352.05,13,1,179858,25301,8175,186663,114291,0,24910,77,0,37480
12,3,5,18000,4,6,2,1,2,2,2,2,2,808.04,21,2,129342,108139,35781,23170,358565,0,0,127042,166949,188327
13,2,4,4800,2,5,15,1,1,2,2,2,2,1528.98,17,1,509427,35281,54043,99469,144210,288332,226033,8158,12133,49850
14,1,2,65000,6,5,2,1,1,2,2,2,2,221.72,8,1,556740,342978,342123,83211,767767,0,130929,187399,190889,450176
15,4,8,14250,4,4,18,1,1,2,2,2,2,446.21,39,1,440878,0,10670,702386,60091,41483,10236,0,12622,27867
16,2,3,20000,4,5,23,1,1,2, ,2,2,864.37,12,1,1554025,93474,151568,170116,732201,383017,119258,19845,28257,205837
17,1,1,164000,7,5,14,1,2,1,1,2,2,137.78,3,1,8887830,261471,1314978,594132,2112876,57419,123548,63043,286726,692513
18,4,8,2050,2,2,23,1,1,2, ,2,2,742.06,37,2,148762,9077,8453,19110,77176,0,12570,2092,2978,21623
19,2,3,106000,7,7,5,1,1,2,2,2,2,38.21,12,1,3905173,881919,159056,175354,2186414,0,188276,84008,270259,514458
20,1,2,148000,7,3,14,1,1,2,2,2,2,137.73,7,1,9202457,71250,727770,968376,2102840,191750,86110,24840,270027,2719856
21,2,3,12500,4,6,12,1,2,2,2,2,2,2724.37,13,2,57701,9698,3718,71,15471,0,0,3378,830,62025
22,3,5,3350,2,8,26,1,2,2,1,2,2,2546.83,21,1,12084,8347,8142,149,20397,0,0,0,779,37435
23,2,3,15250,4,8,23,1,1,2, ,2,2,192.92,13,1,428637,59366,84740,213997,414072,644210,67442,11222,15980,117017
24,2,4,12750,4,3,2,1,1,2,2,2,2,402.35,19,2,724795,95098,35749,25773,186383,0,49819,20634,54685,67200
25,3,5,17500,4,6,12,1,1,2,2,2,2,734.43,23,2,1115793,85872,28110,27087,32158,11240,66734,4736,2187,135257
26,4,9,106000,7,7,25,1,1,2,2,2,2,97.97,40,1,292962,1061191,781704,23800,2941209,122655,281754,26241,23949,1059960
27,3,5,74000,6,6,14,1,1,2,2,2,2,223.94,56,1,1377352,756872,1130666,1170665,883765,238840,419189,19165,273438,182953
28,3,7,1550,2,7,14,1,2,2,2,2,2,1702.02,34,1,2517,26093,0,0,5366,0,0,0,4064,1465
29,3,7,13500,4,7,13,1,1,2,2,2,2,808.04,32,1,446737,2711,16152,0,43488,0,2856,0,0,17860
30,1,2,37000,5,2,5,1,1,2,2,2,2,813.44,51,2,1164515,5737,29135,1402,118913,0,9880,1898,1430,54657
31,3,5,310000,8,6,18,1,1,2,2,2,2,124.18,24,1,1490137,1664031,366360,6103258,18677196,1140123,290746,96655,158359,2359766
34,4,8,12000,4,3,5,1,1,2,2,2,2,80.53,37,1,1030535,0,22690,19230,141807,0,20452,8388,8182,36694
35,3,6,8000,3,6,12,1,1,2,2,2,2,2314.83,30,1,35404,16381,1982,3066,43101,0,11346,2139,1157,42050
36,1,2,15000,4,3,2,1,1,2,2,2,2,869.22,6,1,241943,49507,41507,8074,244744,0,82600,36421,32425,65540
37,3,7,1500000,10,5,24,1,1,1, ,2,2,70.96,57,1,5958588,31308173,9862572,10474608,31018329,4224152,4979427,828577,1179821,11495165
39,4,9,600000,9,6,18,1,1,1,2,2,2,135.43,47,1,1378758,1285872,762482,19154191,9241218,5106886,281221,77835,811671,5686343
40,4,9,260000,8,2,2,1,2,2,2,1,2,82.18,55,2,34470647,64167,455557,1529353,2886931,0,20646,35490,314464,567888
41,1,2,4000,2,2,2,1,1,2,2,2,2,2463.5,7,1,132667,2260,937,627,23000,0,0,24,758,3883
42,3,5,28000,5,7,12,1,2,2,2,2,2,392.2,26,1,0,127543,52318,14240,200961,0,0,3090,1842,128211
43,2,3,3750,2,1,1,1,1,2,2,2,2,508.07,14,1,156865,1367,260,23,14979,7404,51424,165,613,11167
44,4,9,5000,2,4,5,1,2,2,2,2,2,1567.79,59,2,161,4165,6249,5521,54364,0,12350,4972,25935,9233
45,3,5,2400,2,3,14,1,1,2,2,2,2,1769.43,25,2,208874,97429,24725,143212,62607,3331,32655,0,6115,9809
47,3,5,100001,7,7,2,1,2,2,1,2,2,222.04,24,2,581813,973625,392971,115709,1653413,0,86698,5263912,1693891,687917
48,4,8,250000,8,6,8,1,1,1,2,1,2,14.75,37,1,65668007,529859,1778562,2112450,8531033,1382886,510314,229914,550194,2504943
49,2,4,3250,2,7,2,1,1,2,2,2,2,661.9,17,2,36993,9584,7234,1490,46402,0,17442,20168,8861,17991
50,1,2,1000000,9,5,2,1,1,2,2,1,1,3.19,90,2,26282724,3138284,13126428,8081309,37324861,29692800,1402089,18738722,39829865,8396204
52,3,5,41000,5,8,12,1,2,2,2,2,2,406.52,26,1,4851,244354,22850,2820,38778,0,6517,3374,5035,123783
53,2,4,4100,2,7,13,1,2,2,1,2,2,2447.55,19,1,0,5253,4471,90,4541,0,13526,0,146,5138
54,2,3,180000,7,7,18,1,1,2,2,2,2,116.76,13,2,3733997,455586,107733,4292191,6223272,1255552,84944,30066,19238,973771
55,2,3,15000,4,4,25,1,1,2,2,2,2,864.37,16,2,1720843,53017,58812,15258,435253,0,28985,1514,0,98036
56,2,4,35500,5,5,14,1,1,2,2,1,2,720.92,17,2,4788337,77433,414368,827663,304660,0,58621,101055,138204,133310
57,3,5,8000,3,6,23,1,1,2, ,2,2,343.4,25,2,192090,77074,28287,56290,273829,10084,44600,7421,10568,80945
59,3,5,29000,5,7,14,1,2,2,2,2,2,460.92,26,1,0,458874,153246,83513,61976,0,6608,1373,1250,23986
60,4,8,172000,7,4,25,1,1,2,2,2,2,83.77,38,1,1422236,1021562,3679894,39825,7791454,0,200734,151625,325593,2038213
61,2,3,1600,2,7,15,1,1,2,2,2,2,1701.91,12,1,164571,31956,57590,424627,130668,129512,253545,25022,54803,46598
62,1,2,450000,8,2,16,1,1,2,2,2,2,5.83,9,2,20661619,3251866,6118861,9544650,2769173,743809,58624,64503,89818,2602598
63,2,3,4000,2,8,8,1,1,2,2,2,2,2724.37,11,2,42374,4851,4412,597,45196,0,8186,6773,2471,31605
65,3,5,12000,4,4,14,1,2,2,2,2,2,1769.43,25,1,29904,174333,51360,77388,144189,0,18037,0,16221,27090
66,2,4,102000,7,4,14,1,1,1,2,2,2,132.13,17,1,690512,296017,1262464,123364,1041427,50774,163946,32210,176054,177376
67,3,7,1550,2,6,14,1,2,2,2,2,2,1945.16,36,2,2194,26754,1573,0,41247,0,0,1776,2869,2265
68,2,4,28000,5,8,26,1,1,2,2,2,2,864.37,20,2,566335,345493,228982,16489,734884,0,89228,12055,64740,289359
69,1,2,400000,8,2,2,1,2,1,2,2,2,46.81,82,1,31215073,3300159,2521329,2070527,9131743,0,435548,223028,1835611,2303923
71,3,6,23500,4,4,25,1,1,2,2,2,2,297.78,31,2,373222,80438,137335,0,320610,0,52261,26261,18242,92311
72,2,3,77000,6,3,14,1,1,2,2,2,2,188.03,13,1,3694168,431283,658552,280234,648681,41827,242801,35888,128965,123156
73,4,8,7200,3,7,2,1,1,2,2,2,2,781.6,37,1,166324,9907,6404,285,108239,0,8363,1097,832,19111
74,3,5,2200,2,5,15,1,2,2,2,2,2,1446.07,25,1,12326,69241,11426,78342,41072,88932,56967,846,0,28792
75,1,1,900000,9,8,2,1,1,1,2,1,2,46.81,79,1,36398883,3616314,5810344,899604,25080374,1677064,2978747,1106970,7173627,8288254
76,2,3,116000,7,6,2,1,1,2,2,2,2,77.89,16,1,2025327,633625,410130,39581,3207579,0,122175,182714,292028,1478101
77,4,8,20000,4,4,18,1,1,2,2,2,2,781.6,38,1,482163,48219,22437,896077,93101,0,10250,0,0,48958
78,3,6,91000,6,5,18,1,1,2,2,2,2,313.39,30,2,145016,236355,47674,1007522,1425792,83343,29270,3302,8029,159030
79,3,5,310000,8,6,2,1,1,1,2,2,2,70.71,28,1,71331,0,2409844,335329,8489391,1222616,752968,552677,1840648,2582342
81,2,3,67000,6,4,17,1,1,1,2,2,2,214.9,14,2,2264801,1160352,1467903,4054888,1755790,129095,77284,18652,13073,626547
82,1,2,16000,4,6,2,1,1,2,2,2,2,406.42,9,1,664737,14187,12241,23868,81246,0,9739,8021,34847,24728
84,1,1,66000,6,4,23,1,1,2, ,2,2,406.42,2,2,1925901,241572,408646,401016,1397755,0,0,37883,53942,398884
85,3,5,13500,4,6,14,1,2,2,2,2,2,734.43,22,1,69612,73637,54132,29509,68392,3859,13450,1862,7387,11363
86,2,4,8800,3,5,5,1,1,2,2,2,2,864.37,20,1,93821,3727,2793,0,53926,0,0,1436,1026,10245
87,3,6,68000,6,8,11,1,1,2,2,2,2,377.81,29,2,391074,75596,57340,14272,2200041,3606,6593058,18560,52468,288499
89,4,8,430000,8,8,16,1,1,1,2,2,2,14.75,37,1,46491425,4951551,10731774,44639181,27976575,2572792,1231939,663644,1807478,7876685
90,1,2,18000,4,7,5,1,1,2,2,2,2,140.65,4,2,683141,6025,12701,688,179776,0,11498,2593,6072,30943
91,4,9,54000,6,4,14,1,1,2,2,2,2,243.77,55,1,2132567,191916,290134,1068371,1370873,0,0,30603,437191,126602
92,3,5,1050,2,4,2,1,2,1,2,2,2,2605.72,21,1,57067,4944,747,163,28677,0,6688,6,666,2229
93,3,5,6000,3,5,26,1,2,1,2,2,2,2314.83,25,1,151705,1925,4196,294,40440,0,6663,11,240,18519
94,2,3,104000,7,4,2,1,1,1,2,2,2,86.27,16,1,3394677,1251135,1612255,416531,4732137,79186,787276,854956,3497649,2337446
95,2,4,275000,8,7,16,1,1,1,2,2,2,12.29,19,2,32973937,5204153,6915842,0,13580982,398706,1177338,298884,810755,4147315
96,1,1,36000,5,1,1,1,1,1,2,2,2,411.91,3,2,1095651,7955,59801,20540,74522,399107,13433,62,1245,112019
98,2,3,1650,2,4,2,1,1,2,2,2,2,1701.91,15,2,153207,3109,1452,428,8719,0,12310,16,831,6446
99,4,8,136000,7,7,23,1,1,2, ,2,2,87.5,46,2,1883461,3472581,1228978,661780,3809573,815145,620488,103249,147018,1352171
100,3,6,3350,2,5,15,1,2,2,1,2,2,1591,29,1,0,3920,4894,5215,5110,0,31854,42,0,6129
