,PUBID,REGION,CENDIV,SQFT,PBA,YRCON,FREESTN,NELVTR,NESLTR,GLSSPC,OPEN24,WKHRS,NWKER,OPNWE,ONEACT,RFGEQP,ELHT1,ELCOOL,ELWATR,ELCOOK,ELMANU,ELCNS,YEAR,PBA_Detail
0,1,2,4,2400,26,1975,1.0,0.0,0.0,1.0,2.0,16.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6081.0,2012,Service
1,2,3,5,114000,23,1985,1.0,0.0,0.0,2.0,2.0,72.0,52.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1581997.0,2012,Strip shopping mall
2,3,1,1,2550,15,1958,1.0,0.0,0.0,4.0,2.0,40.0,10.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,11399.0,2012,Food service
3,4,3,7,500000,18,1983,1.0,9.0,4.0,5.0,1.0,168.0,165.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,10932350.0,2012,Lodging
4,5,3,7,30000,2,1972,1.0,1.0,0.0,2.0,2.0,65.0,19.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,447453.0,2012,Office
5,6,3,5,1800,6,995,,0.0,0.0,,2.0,105.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,59588.0,2012,Food sales
6,7,3,7,800000,16,1950,1.0,21.0,0.0,3.0,1.0,168.0,350.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,26179130.0,2012,Inpatient health care
7,8,3,7,1400,1,1964,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
8,9,3,7,37500,2,1980,1.0,0.0,0.0,3.0,2.0,68.0,25.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,653111.0,2012,Office
9,10,3,5,600000,2,1989,1.0,14.0,0.0,6.0,2.0,72.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,16141457.0,2012,Office
10,11,4,8,10250,2,995,,0.0,0.0,,2.0,65.0,25.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,126359.0,2012,Office
11,12,3,6,6200,15,1967,1.0,0.0,0.0,1.0,2.0,96.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,87839.0,2012,Food service
12,13,3,5,7000,26,1973,1.0,0.0,0.0,2.0,2.0,50.0,15.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,71793.0,2012,Service
13,14,3,5,7000,26,1969,1.0,0.0,0.0,3.0,2.0,72.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,53716.0,2012,Service
14,15,3,7,370000,14,1998,1.0,2.0,0.0,2.0,2.0,50.0,300.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6737836.0,2012,Education
15,16,2,4,104000,14,1961,1.0,1.0,0.0,3.0,2.0,50.0,71.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1354402.0,2012,Education
16,17,2,3,1200,13,1976,1.0,0.0,0.0,1.0,2.0,30.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,13576.0,2012,Public assembly
17,18,3,7,6000,2,1989,1.0,0.0,0.0,1.0,2.0,48.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,17966.0,2012,Office
18,19,1,1,78000,4,995,,2.0,0.0,,1.0,168.0,178.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2686105.0,2012,Laboratory
