,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,1991-01-01,0.5851180201743299,0.5851180201743299,0.5851180201743299,0.15140901711934177,0.39189826912985615,-0.31069269643002523,-0.31069269643002523,-0.31069269643002523,-0.31069269643002523,-0.31069269643002523,-0.31069269643002523,-0.0023931868902883065,-0.0023931868902883065,-0.0023931868902883065,-0.30829950953973695,-0.30829950953973695,-0.30829950953973695,0.27442532374430467
1,1991-01-02,0.5850454054946486,0.5850454054946486,0.5850454054946486,0.1622470761658681,0.4057917892780904,-0.3074574447102223,-0.3074574447102223,-0.3074574447102223,-0.3074574447102223,-0.3074574447102223,-0.3074574447102223,0.0010038313702705713,0.0010038313702705713,0.0010038313702705713,-0.3084612760804929,-0.3084612760804929,-0.3084612760804929,0.27758796078442627
2,1991-01-03,0.5849727908149673,0.5849727908149673,0.5849727908149673,0.157725142700208,0.3930864611431958,-0.3083112756124907,-0.3083112756124907,-0.3083112756124907,-0.3083112756124907,-0.3083112756124907,-0.3083112756124907,0.00013300731036418084,0.00013300731036418084,0.00013300731036418084,-0.30844428292285486,-0.30844428292285486,-0.30844428292285486,0.2766615152024766
3,1991-01-04,0.584900176135286,0.584900176135286,0.584900176135286,0.15935440076328006,0.3932017009098411,-0.3090511228698322,-0.3090511228698322,-0.3090511228698322,-0.3090511228698322,-0.3090511228698322,-0.3090511228698322,-0.0008203338030567644,-0.0008203338030567644,-0.0008203338030567644,-0.3082307890667755,-0.3082307890667755,-0.3082307890667755,0.2758490532654538
4,1991-01-05,0.5848275614556048,0.5848275614556048,0.5848275614556048,0.16357402442959548,0.3916011082571361,-0.30446478055846465,-0.30446478055846465,-0.30446478055846465,-0.30446478055846465,-0.30446478055846465,-0.30446478055846465,0.0033410290078442176,0.0033410290078442176,0.0033410290078442176,-0.3078058095663089,-0.3078058095663089,-0.3078058095663089,0.2803627808971401
5,1991-01-06,0.5847549467759234,0.5847549467759234,0.5847549467759234,0.1688087452286757,0.40172505082951826,-0.304544533517628,-0.304544533517628,-0.304544533517628,-0.304544533517628,-0.304544533517628,-0.304544533517628,0.002613002026270953,0.002613002026270953,0.002613002026270953,-0.307157535543899,-0.307157535543899,-0.307157535543899,0.28021041325829543
6,1991-01-07,0.5846823320962422,0.5846823320962422,0.5846823320962422,0.15074734090410144,0.39774933963010767,-0.3101550205475524,-0.3101550205475524,-0.3101550205475524,-0.3101550205475524,-0.3101550205475524,-0.3101550205475524,-0.0038773490213997908,-0.0038773490213997908,-0.0038773490213997908,-0.3062776715261526,-0.3062776715261526,-0.3062776715261526,0.2745273115486898
7,1991-01-08,0.5846097174165609,0.5846097174165609,0.5846097174165609,0.1572733955140989,0.393415246294513,-0.3075548677892132,-0.3075548677892132,-0.3075548677892132,-0.3075548677892132,-0.3075548677892132,-0.3075548677892132,-0.0023931868902849537,-0.0023931868902849537,-0.0023931868902849537,-0.30516168089892826,-0.30516168089892826,-0.30516168089892826,0.27705484962734767
8,1991-01-09,0.5845371027368795,0.5845371027368795,0.5845371027368795,0.16021441163597774,0.3927897517177158,-0.3028051013677908,-0.3028051013677908,-0.3028051013677908,-0.3028051013677908,-0.3028051013677908,-0.3028051013677908,0.0010038313702697846,0.0010038313702697846,0.0010038313702697846,-0.30380893273806053,-0.30380893273806053,-0.30380893273806053,0.2817320013690887
9,1991-01-10,0.5844644880571983,0.5844644880571983,0.5844644880571983,0.16525921963755452,0.39736832082812035,-0.302089738596977,-0.302089738596977,-0.302089738596977,-0.302089738596977,-0.302089738596977,-0.302089738596977,0.00013300731036256858,0.00013300731036256858,0.00013300731036256858,-0.3022227459073395,-0.3022227459073395,-0.3022227459073395,0.2823747494602213
10,1991-01-11,0.584391873377517,0.584391873377517,0.584391873377517,0.15853988866225124,0.3971201293593498,-0.301230662859134,-0.301230662859134,-0.301230662859134,-0.301230662859134,-0.301230662859134,-0.301230662859134,-0.0008203338030610204,-0.0008203338030610204,-0.0008203338030610204,-0.300410329056073,-0.300410329056073,-0.300410329056073,0.28316121051838294
11,1991-01-12,0.5843192586978357,0.5843192586978357,0.5843192586978357,0.16799341720493494,0.40875763432661766,-0.2950415889123037,-0.2950415889123037,-0.2950415889123037,-0.2950415889123037,-0.2950415889123037,-0.2950415889123037,0.0033410290078426867,0.0033410290078426867,0.0033410290078426867,-0.2983826179201463,-0.2983826179201463,-0.2983826179201463,0.28927766978553204
12,1991-01-13,0.5842466440181544,0.5842466440181544,0.5842466440181544,0.17569869573593372,0.4064009066448272,-0.29354101203208677,-0.29354101203208677,-0.29354101203208677,-0.29354101203208677,-0.29354101203208677,-0.29354101203208677,0.002613002026267512,0.002613002026267512,0.002613002026267512,-0.2961540140583543,-0.2961540140583543,-0.2961540140583543,0.29070563198606764
13,1991-01-14,0.5841740293384732,0.5841740293384732,0.5841740293384732,0.15755312228454077,0.4053961556980878,-0.2976193807879173,-0.2976193807879173,-0.2976193807879173,-0.2976193807879173,-0.2976193807879173,-0.2976193807879173,-0.003877349021399,-0.003877349021399,-0.003877349021399,-0.2937420317665183,-0.2937420317665183,-0.2937420317665183,0.2865546485505559
14,1991-01-15,0.5841014146587918,0.5841014146587917,0.5841014146587917,0.1703977871569946,0.40785339973948154,-0.2935600492261363,-0.2935600492261363,-0.2935600492261363,-0.2935600492261363,-0.2935600492261363,-0.2935600492261363,-0.002393186890286217,-0.002393186890286217,-0.002393186890286217,-0.29116686233585015,-0.29116686233585015,-0.29116686233585015,0.2905413654326555
15,1991-01-16,0.5840287999791105,0.5840287999791105,0.5840287999791105,0.17946290774610638,0.40665609893406185,-0.28744703562442786,-0.28744703562442786,-0.28744703562442786,-0.28744703562442786,-0.28744703562442786,-0.28744703562442786,0.00100383137027127,0.00100383137027127,0.00100383137027127,-0.2884508669946992,-0.2884508669946992,-0.2884508669946992,0.29658176435468264
16,1991-01-17,0.5839561852994293,0.5839561852994293,0.5839561852994293,0.18247141870668573,0.413278008206908,-0.28548500442676955,-0.28548500442676955,-0.28548500442676955,-0.28548500442676955,-0.28548500442676955,-0.28548500442676955,0.0001330073103629026,0.0001330073103629026,0.0001330073103629026,-0.28561801173713236,-0.28561801173713236,-0.28561801173713236,0.2984711808726597
17,1991-01-18,0.5838835706197479,0.5838835706197479,0.5838835706197479,0.179431579409121,0.41920103764479577,-0.2835135925521913,-0.2835135925521913,-0.2835135925521913,-0.2835135925521913,-0.2835135925521913,-0.2835135925521913,-0.0008203338030583962,-0.0008203338030583962,-0.0008203338030583962,-0.28269325874913287,-0.28269325874913287,-0.28269325874913287,0.30036997806755666
18,1991-01-19,0.5838109559400667,0.5838109559400667,0.5838109559400667,0.19095634368280504,0.4205431830025625,-0.2763609012470616,-0.2763609012470616,-0.2763609012470616,-0.2763609012470616,-0.2763609012470616,-0.2763609012470616,0.0033410290078444782,0.0033410290078444782,0.0033410290078444782,-0.2797019302549061,-0.2797019302549061,-0.2797019302549061,0.3074500546930051
19,1991-01-20,0.5837383412603854,0.5837383412603854,0.5837383412603854,0.18822154653092643,0.42881276353948183,-0.2740560592678818,-0.2740560592678818,-0.2740560592678818,-0.2740560592678818,-0.2740560592678818,-0.2740560592678818,0.002613002026269495,0.002613002026269495,0.002613002026269495,-0.2766690612941513,-0.2766690612941513,-0.2766690612941513,0.3096822819925036
20,1991-01-21,0.5836657265807041,0.5836657265807041,0.5836657265807041,0.18654362675947533,0.4211655812594295,-0.27749610721163587,-0.27749610721163587,-0.27749610721163587,-0.27749610721163587,-0.27749610721163587,-0.27749610721163587,-0.0038773490214021084,-0.0038773490214021084,-0.0038773490214021084,-0.27361875819023374,-0.27361875819023374,-0.27361875819023374,0.3061696193690683
21,1991-01-22,0.5835931119010228,0.5835931119010228,0.5835931119010228,0.19828028512590282,0.41712942611192266,-0.27296676616504245,-0.27296676616504245,-0.27296676616504245,-0.27296676616504245,-0.27296676616504245,-0.27296676616504245,-0.002393186890287481,-0.002393186890287481,-0.002393186890287481,-0.270573579274755,-0.270573579274755,-0.270573579274755,0.31062634573598036
22,1991-01-23,0.5835204972213415,0.5835204972213415,0.5835204972213415,0.1939830255795624,0.4336519110607189,-0.26655012243367143,-0.26655012243367143,-0.26655012243367143,-0.26655012243367143,-0.26655012243367143,-0.26655012243367143,0.0010038313702688188,0.0010038313702688188,0.0010038313702688188,-0.2675539538039403,-0.2675539538039403,-0.2675539538039403,0.31697037478767004
23,1991-01-24,0.5834478825416602,0.5834478825416602,0.5834478825416602,0.20038483969164045,0.4354661676583782,-0.2644446466459553,-0.2644446466459553,-0.2644446466459553,-0.2644446466459553,-0.2644446466459553,-0.2644446466459553,0.00013300731036238484,0.00013300731036238484,0.00013300731036238484,-0.2645776539563176,-0.2645776539563176,-0.2645776539563176,0.31900323589570495
24,1991-01-25,0.5833752678619789,0.5833752678619789,0.5833752678619789,0.1982484028856531,0.4439290547735194,-0.2624796671731152,-0.2624796671731152,-0.2624796671731152,-0.2624796671731152,-0.2624796671731152,-0.2624796671731152,-0.0008203338030598945,-0.0008203338030598945,-0.0008203338030598945,-0.2616593333700553,-0.2616593333700553,-0.2616593333700553,0.3208956006888637
25,1991-01-26,0.5833026531822977,0.5833026531822977,0.5833026531822977,0.20718297822271683,0.44164797789830834,-0.25546911489464524,-0.25546911489464524,-0.25546911489464524,-0.25546911489464524,-0.25546911489464524,-0.25546911489464524,0.0033410290078443126,0.0033410290078443126,0.0033410290078443126,-0.2588101439024895,-0.2588101439024895,-0.2588101439024895,0.32783353828765244
26,1991-01-27,0.5832300385026163,0.5832300385026163,0.5832300385026163,0.2070887883755151,0.44830786722731203,-0.2534244381981516,-0.2534244381981516,-0.2534244381981516,-0.2534244381981516,-0.2534244381981516,-0.2534244381981516,0.002613002026264961,0.002613002026264961,0.002613002026264961,-0.2560374402244165,-0.2560374402244165,-0.2560374402244165,0.32980560030446476
27,1991-01-28,0.5831574238229351,0.5831574238229351,0.5831574238229351,0.20608362888501924,0.44179908436268855,-0.25722192857555387,-0.25722192857555387,-0.25722192857555387,-0.25722192857555387,-0.25722192857555387,-0.25722192857555387,-0.003877349021396812,-0.003877349021396812,-0.003877349021396812,-0.2533445795541571,-0.2533445795541571,-0.2533445795541571,0.32593549524738125
28,1991-01-29,0.5830848091432538,0.5830848091432538,0.5830848091432538,0.20303002971502146,0.4454610220215469,-0.2531240082454476,-0.2531240082454476,-0.2531240082454476,-0.2531240082454476,-0.2531240082454476,-0.2531240082454476,-0.002393186890284127,-0.002393186890284127,-0.002393186890284127,-0.25073082135516345,-0.25073082135516345,-0.25073082135516345,0.32996080089780616
29,1991-01-30,0.5830121944635726,0.5830121944635724,0.5830121944635724,0.21872697260205887,0.4629235957229078,-0.2471874978625141,-0.2471874978625141,-0.2471874978625141,-0.2471874978625141,-0.2471874978625141,-0.2471874978625141,0.0010038313702686401,0.0010038313702686401,0.0010038313702686401,-0.24819132923278273,-0.24819132923278273,-0.24819132923278273,0.33582469660105846
30,1991-01-31,0.5829395797838912,0.5829395797838912,0.5829395797838912,0.21893889785117704,0.4573523300549395,-0.24558426733052174,-0.24558426733052174,-0.24558426733052174,-0.24558426733052174,-0.24558426733052174,-0.24558426733052174,0.00013300731036271877,0.00013300731036271877,0.00013300731036271877,-0.2457172746408845,-0.2457172746408845,-0.2457172746408845,0.33735531245336947
31,1991-02-01,0.5828669651042099,0.5828669651042099,0.5828669651042099,0.22208565446743064,0.451713440881847,-0.2441163732200942,-0.2441163732200942,-0.2441163732200942,-0.2441163732200942,-0.2441163732200942,-0.2441163732200942,-0.0008203338030572702,-0.0008203338030572702,-0.0008203338030572702,-0.2432960394170369,-0.2432960394170369,-0.2432960394170369,0.3387505918841157
32,1991-02-02,0.5827943504245287,0.5827943504245287,0.5827943504245287,0.2283237667027164,0.4627533804596747,-0.2375704826659753,-0.2375704826659753,-0.2375704826659753,-0.2375704826659753,-0.2375704826659753,-0.2375704826659753,0.0033410290078427817,0.0033410290078427817,0.0033410290078427817,-0.24091151167381808,-0.24091151167381808,-0.24091151167381808,0.34522386775855335
33,1991-02-03,0.5827217357448473,0.5827217357448473,0.5827217357448473,0.22119491582002007,0.4593681283050735,-0.2359314652231124,-0.2359314652231124,-0.2359314652231124,-0.2359314652231124,-0.2359314652231124,-0.2359314652231124,0.002613002026266943,0.002613002026266943,0.002613002026266943,-0.23854446724937936,-0.23854446724937936,-0.23854446724937936,0.34679027052173494
34,1991-02-04,0.5826491210651661,0.5826491210651661,0.5826491210651661,0.22080448821748985,0.4668586364868476,-0.24005037584258304,-0.24005037584258304,-0.24005037584258304,-0.24005037584258304,-0.24005037584258304,-0.24005037584258304,-0.00387734902139992,-0.00387734902139992,-0.00387734902139992,-0.23617302682118313,-0.23617302682118313,-0.23617302682118313,0.34259874522258305
35,1991-02-05,0.5825765063854847,0.5825765063854847,0.5825765063854847,0.22850994030940194,0.4640602604549358,-0.23616636385718556,-0.23616636385718556,-0.23616636385718556,-0.23616636385718556,-0.23616636385718556,-0.23616636385718556,-0.0023931868902853913,-0.0023931868902853913,-0.0023931868902853913,-0.23377317696690017,-0.23377317696690017,-0.23377317696690017,0.34641014252829916
36,1991-02-06,0.5825038917058035,0.5825038917058035,0.5825038917058035,0.23127670851439072,0.4670188402737597,-0.23031551058921065,-0.23031551058921065,-0.23031551058921065,-0.23031551058921065,-0.23031551058921065,-0.23031551058921065,0.0010038313702701257,0.0010038313702701257,0.0010038313702701257,-0.23131934195948078,-0.23131934195948078,-0.23131934195948078,0.3521883811165929
37,1991-02-07,0.5824312770261222,0.5824312770261222,0.5824312770261222,0.2333441361210141,0.4895973706044805,-0.2286519846357473,-0.2286519846357473,-0.2286519846357473,-0.2286519846357473,-0.2286519846357473,-0.2286519846357473,0.00013300731036001209,0.00013300731036001209,0.00013300731036001209,-0.22878499194610732,-0.22878499194610732,-0.22878499194610732,0.35377929239037487
38,1991-02-08,0.5823586623464408,0.5823586623464408,0.5823586623464408,0.2304364591296112,0.475026635811555,-0.22696360621065578,-0.22696360621065578,-0.22696360621065578,-0.22696360621065578,-0.22696360621065578,-0.22696360621065578,-0.0008203338030574033,-0.0008203338030574033,-0.0008203338030574033,-0.22614327240759838,-0.22614327240759838,-0.22614327240759838,0.35539505613578504
39,1991-02-09,0.5822860476667596,0.5822860476667596,0.5822860476667596,0.23498153624433116,0.4783100374507254,-0.22002661043303143,-0.22002661043303143,-0.22002661043303143,-0.22002661043303143,-0.22002661043303143,-0.22002661043303143,0.003341029007842616,0.003341029007842616,0.003341029007842616,-0.22336763944087404,-0.22336763944087404,-0.22336763944087404,0.3622594372337282
40,1991-02-10,0.5822134329870783,0.5822134329870783,0.5822134329870783,0.24746296066540716,0.48144458258155776,-0.21781948343008106,-0.21781948343008106,-0.21781948343008106,-0.21781948343008106,-0.21781948343008106,-0.21781948343008106,0.002613002026267831,0.002613002026267831,0.002613002026267831,-0.2204324854563489,-0.2204324854563489,-0.2204324854563489,0.3643939495569972
41,1991-02-11,0.5821408183073971,0.5821408183073971,0.5821408183073971,0.24076596378697546,0.4834321714454111,-0.22119108934849663,-0.22119108934849663,-0.22119108934849663,-0.22119108934849663,-0.22119108934849663,-0.22119108934849663,-0.0038773490213979147,-0.0038773490213979147,-0.0038773490213979147,-0.21731374032709871,-0.21731374032709871,-0.21731374032709871,0.36094972895890043
42,1991-02-12,0.5820682036277157,0.5820682036277157,0.5820682036277157,0.24057469579127472,0.48347796223287814,-0.21638262073973222,-0.21638262073973222,-0.21638262073973222,-0.21638262073973222,-0.21638262073973222,-0.21638262073973222,-0.002393186890282037,-0.002393186890282037,-0.002393186890282037,-0.2139894338494502,-0.2139894338494502,-0.2139894338494502,0.3656855828879835
43,1991-02-13,0.5819955889480345,0.5819955889480345,0.5819955889480345,0.24707019909548975,0.4900509587437515,-0.20943637517794972,-0.20943637517794972,-0.20943637517794972,-0.20943637517794972,-0.20943637517794972,-0.20943637517794972,0.001003831370269339,0.001003831370269339,0.001003831370269339,-0.21044020654821907,-0.21044020654821907,-0.21044020654821907,0.3725592137700848
44,1991-02-14,0.5819229742683532,0.5819229742683532,0.5819229742683532,0.26484838719402437,0.4994016806833218,-0.20651675003627523,-0.20651675003627523,-0.20651675003627523,-0.20651675003627523,-0.20651675003627523,-0.20651675003627523,0.0001330073103644811,0.0001330073103644811,0.0001330073103644811,-0.2066497573466397,-0.2066497573466397,-0.2066497573466397,0.3754062242320779
45,1991-02-15,0.5818503595886718,0.5818503595886718,0.5818503595886718,0.2548316680946947,0.49183101074823676,-0.20342555218026953,-0.20342555218026953,-0.20342555218026953,-0.20342555218026953,-0.20342555218026953,-0.20342555218026953,-0.000820333803056144,-0.000820333803056144,-0.000820333803056144,-0.2026052183772134,-0.2026052183772134,-0.2026052183772134,0.3784248074084023
46,1991-02-16,0.5817777449089906,0.5817777449089906,0.5817777449089906,0.2650735293373114,0.5108349076101731,-0.19495642017533948,-0.19495642017533948,-0.19495642017533948,-0.19495642017533948,-0.19495642017533948,-0.19495642017533948,0.0033410290078410847,0.0033410290078410847,0.0033410290078410847,-0.19829744918318057,-0.19829744918318057,-0.19829744918318057,0.3868213247336511
47,1991-02-17,0.5817051302293093,0.5817051302293093,0.5817051302293093,0.2749937991785731,0.5095901113496931,-0.19110824266968585,-0.19110824266968585,-0.19110824266968585,-0.19110824266968585,-0.19110824266968585,-0.19110824266968585,0.0026130020262643905,0.0026130020262643905,0.0026130020262643905,-0.19372124469595026,-0.19372124469595026,-0.19372124469595026,0.3905968875596234
