GEOID10,City,County,Density
90001,Los Angeles,Los Angeles,0.565872662
90002,Los Angeles,Los Angeles,0.793405219
90003,Los Angeles,Los Angeles,0.618115124
90004,Los Angeles,Los Angeles,0.132046207
90005,Los Angeles,Los Angeles,0.348919802
90006,Los Angeles,Los Angeles,0.333401457
90007,Los Angeles,Los Angeles,0.185101299
90008,Los Angeles,Los Angeles,0.069250565
90009,Los Angeles,Los Angeles,0.462038237
90010,Los Angeles,Los Angeles,0.013379823
90011,Los Angeles,Los Angeles,0.627312669
90012,Los Angeles,Los Angeles,0.605860854
90013,Los Angeles,Los Angeles,0.055291572
90014,Los Angeles,Los Angeles,0.548320311
90015,Los Angeles,Los Angeles,0.558595954
90016,Los Angeles,Los Angeles,0.774357903
90017,Los Angeles,Los Angeles,0.711277512
90018,Los Angeles,Los Angeles,0.891298563
90019,Los Angeles,Los Angeles,0.409466474
90020,Los Angeles,Los Angeles,0.592505468
90021,Los Angeles,Los Angeles,0.034685633
90022,Los Angeles,Los Angeles,0.775502358
90023,Los Angeles,Los Angeles,0.660137273
90024,Los Angeles,Los Angeles,0.820872375
90025,Los Angeles,Los Angeles,0.499855789
90026,Los Angeles,Los Angeles,0.638903074
90027,Los Angeles,Los Angeles,0.157915451
90028,Los Angeles,Los Angeles,0.116160914
90029,Los Angeles,Los Angeles,0.809057735
90030,Los Angeles,Los Angeles,0.592522313
90031,Los Angeles,Los Angeles,0.2302312
90032,Los Angeles,Los Angeles,0.778724655
90033,Los Angeles,Los Angeles,0.60988223
90034,Los Angeles,Los Angeles,0.388245206
90035,Los Angeles,Los Angeles,0.977364493
90036,Los Angeles,Los Angeles,0.174308629
90037,Los Angeles,Los Angeles,0.593130404
90038,Los Angeles,Los Angeles,0.947967312
90039,Los Angeles,Los Angeles,0.945360354
90040,Los Angeles,Los Angeles,0.836534893
90041,Los Angeles,Los Angeles,0.226655982
90042,Los Angeles,Los Angeles,0.8403372
90043,Los Angeles,Los Angeles,0.949905016
90044,Los Angeles,Los Angeles,0.161107896
90045,Los Angeles,Los Angeles,0.18887002
90046,Los Angeles,Los Angeles,0.107557909
90047,Los Angeles,Los Angeles,0.311984392
90048,Los Angeles,Los Angeles,0.672860772
90049,Los Angeles,Los Angeles,0.78178675
90050,Los Angeles,Los Angeles,0.313251227
90051,Los Angeles,Los Angeles,0.759476557
90052,Los Angeles,Los Angeles,0.091833669
90053,Los Angeles,Los Angeles,0.761268929
90054,Los Angeles,Los Angeles,0.126147892
90055,Los Angeles,Los Angeles,0.688333493
90056,Los Angeles,Los Angeles,0.171219201
90057,Los Angeles,Los Angeles,0.832510234
90058,Los Angeles,Los Angeles,0.143809728
90059,Los Angeles,Los Angeles,0.710823072
90060,Los Angeles,Los Angeles,0.657227609
90061,Los Angeles,Los Angeles,0.499194787
90062,Los Angeles,Los Angeles,0.898735775
90063,Los Angeles,Los Angeles,0.760864911
90064,Los Angeles,Los Angeles,0.157474033
90065,Los Angeles,Los Angeles,0.978727425
90066,Los Angeles,Los Angeles,0.955593556
90067,Los Angeles,Los Angeles,0.33957193
90068,Los Angeles,Los Angeles,0.302209443
90069,West Hollywood,Los Angeles,0.177682018
90070,Los Angeles,Los Angeles,0.247199105
90071,Los Angeles,Los Angeles,0.618633468
90072,Los Angeles,Los Angeles,0.523668087
90073,Los Angeles,Los Angeles,0.041241174
90074,Los Angeles,Los Angeles,0.129379323
90075,Los Angeles,Los Angeles,0.920311998
90076,Los Angeles,Los Angeles,0.643649389
90077,Los Angeles,Los Angeles,0.204072407
90078,Los Angeles,Los Angeles,0.736151982
90079,Los Angeles,Los Angeles,0.138282925
90080,Los Angeles,Los Angeles,0.110703723
90081,Los Angeles,Los Angeles,0.692665896
90082,Los Angeles,Los Angeles,0.198305494
90083,Los Angeles,Los Angeles,0.760132321
90084,Los Angeles,Los Angeles,0.525744734
90086,Los Angeles,Los Angeles,0.393623138
90087,Los Angeles,Los Angeles,0.930751924
90088,Los Angeles,Los Angeles,0.958894482
90089,Los Angeles,Los Angeles,0.686700052
90091,Los Angeles,Los Angeles,0.111078555
90093,Los Angeles,Los Angeles,0.154921497
90094,Los Angeles,Los Angeles,0.508337865
90095,Los Angeles,Los Angeles,0.507008126
90096,Los Angeles,Los Angeles,0.975789095
90099,Los Angeles,Los Angeles,0.597334979
90101,Los Angeles,Los Angeles,0.454787308
90102,Los Angeles,Los Angeles,0.327166853
90103,Los Angeles,Los Angeles,0.825589047
90189,Los Angeles,Los Angeles,0.299266804
